2015-01-05 07,28323,1.58,41611.97,2.32,185820.14,10.37,4.00,0.00,8951.50,0.50,22504.99,1.26,66.00,0.00,222689.03,12.43,17919	
2015-01-05 08,34207,1.62,44854.08,2.12,220951.90,10.45,7.50,0.00,10557.50,0.50,27704.31,1.31,63.00,0.00,265592.01,12.56,21150	
2015-01-05 09,29654,1.60,38478.11,2.07,188770.76,10.17,7.00,0.00,9269.00,0.50,22687.90,1.22,11.00,0.00,226285.91,12.19,18563	
2015-01-05 10,24707,1.62,32795.63,2.15,154271.93,10.13,6.50,0.00,7602.00,0.50,16819.28,1.10,66.00,0.00,183309.31,12.04,15229	
2015-01-05 11,25410,1.65,32580.59,2.11,154352.01,10.00,9.00,0.00,7695.50,0.50,15910.78,1.03,68.00,0.00,182640.69,11.84,15432	
2015-01-05 12,26930,1.67,33490.79,2.08,159547.10,9.91,9.00,0.00,8037.50,0.50,16226.30,1.01,58.00,0.00,188691.25,11.71,16107	
2015-01-05 13,26626,1.65,34472.41,2.14,162626.72,10.11,11.00,0.00,8025.50,0.50,16462.00,1.02,139.00,0.01,192070.92,11.94,16089	
2015-01-05 14,29678,1.68,38005.91,2.15,178539.03,10.10,18.00,0.00,8813.50,0.50,18575.01,1.05,96.00,0.01,211321.54,11.96,17674	
2015-01-05 15,31511,1.70,39818.55,2.15,189040.84,10.20,852.00,0.05,9248.50,0.50,19156.68,1.03,111.00,0.01,223950.12,12.08,18542	
2015-01-05 16,28004,1.69,35388.77,2.13,166164.63,10.02,16173.50,0.98,8270.00,0.50,18380.09,1.11,39.00,0.00,213975.22,12.91,16580	
2015-01-05 17,34226,1.66,44300.26,2.15,208252.53,10.13,20356.50,0.99,10252.50,0.50,24958.21,1.21,84.00,0.00,270041.44,13.14,20558	
2015-01-05 18,41441,1.65,53551.03,2.13,249215.10,9.91,24955.00,0.99,12559.50,0.50,32630.64,1.30,77.00,0.00,326954.24,13.00,25158	
2015-01-05 19,40993,1.66,55334.57,2.24,243187.97,9.85,23929.50,0.97,12323.50,0.50,33044.87,1.34,0.00,0.00,319865.14,12.96,24686	
2015-01-05 20,35182,1.67,52866.05,2.51,218187.19,10.34,10618.30,0.50,10529.50,0.50,29160.25,1.38,28.00,0.00,274831.39,13.03,21093	
2015-01-05 21,31323,1.66,51448.89,2.73,206196.38,10.95,9313.50,0.49,9394.00,0.50,27877.97,1.48,35.00,0.00,258453.35,13.73,18827	
2015-01-05 22,25931,1.68,45549.34,2.96,176959.68,11.49,7622.50,0.49,7681.50,0.50,23686.01,1.54,50.00,0.00,220601.99,14.33,15399	
2015-01-05 23,20107,1.68,39165.75,3.28,145408.10,12.16,5890.00,0.49,5959.50,0.50,18713.36,1.57,11.00,0.00,179554.06,15.02,11953	
2015-01-06 00,13139,1.65,28614.11,3.60,105353.13,13.26,3903.50,0.49,3954.00,0.50,12558.50,1.58,2.00,0.00,128143.23,16.12,7947	
2015-01-06 01,7738,1.63,17064.81,3.59,62484.63,13.14,2334.50,0.49,2364.00,0.50,6740.06,1.42,2.00,0.00,75346.89,15.85,4755	
2015-01-06 02,4929,1.64,10301.23,3.42,39380.08,13.07,1481.50,0.49,1494.00,0.50,3864.20,1.28,26.00,0.01,47147.58,15.65,3012	
2015-01-06 03,3151,1.65,6541.68,3.43,24566.50,12.90,936.50,0.49,941.50,0.49,2426.50,1.27,21.00,0.01,29462.00,15.47,1905	
2015-01-06 04,3179,1.62,7363.58,3.76,26373.60,13.48,950.50,0.49,968.50,0.49,2214.66,1.13,74.00,0.04,31166.86,15.93,1957	
2015-01-06 05,5502,1.51,11177.05,3.07,41788.65,11.49,1615.50,0.44,1803.50,0.50,4717.78,1.30,69.00,0.02,51082.13,14.05,3636	
2015-01-06 06,16409,1.53,25991.40,2.43,105707.05,9.87,57.00,0.01,5333.50,0.50,12559.24,1.17,112.00,0.01,126963.19,11.85,10711	
2015-01-06 07,30877,1.60,41616.72,2.15,190645.16,9.86,2.50,0.00,9656.00,0.50,23421.25,1.21,236.00,0.01,229735.09,11.88,19331	
2015-01-06 08,38842,1.63,46577.25,1.96,247804.92,10.41,4.50,0.00,11880.00,0.50,32195.76,1.35,86.00,0.00,299071.58,12.57,23798	
2015-01-06 09,33309,1.62,38068.55,1.86,226601.22,11.05,2.50,0.00,10235.50,0.50,28877.46,1.41,100.00,0.00,271942.58,13.26,20507	
2015-01-06 10,27473,1.63,32210.00,1.91,188806.27,11.18,1.00,0.00,8430.50,0.50,21934.76,1.30,71.00,0.00,224289.73,13.28,16895	
2015-01-06 11,27283,1.65,31198.20,1.88,182662.69,11.03,1.00,0.00,8267.50,0.50,20343.01,1.23,70.00,0.00,216299.15,13.06,16564	
2015-01-06 12,28471,1.65,32296.80,1.87,181218.49,10.48,3.00,0.00,8623.50,0.50,20335.05,1.18,57.00,0.00,215401.94,12.46,17286	
2015-01-06 13,27675,1.66,32603.31,1.96,170822.61,10.24,16.00,0.00,8313.50,0.50,19133.55,1.15,75.00,0.00,203347.91,12.19,16676	
2015-01-06 14,30288,1.66,37045.03,2.02,188495.54,10.30,464.87,0.03,9129.50,0.50,20865.07,1.14,122.00,0.01,224549.26,12.27,18300	
2015-01-06 15,31391,1.70,37552.39,2.03,187813.74,10.15,843.50,0.05,9226.00,0.50,20770.43,1.12,53.00,0.00,224235.47,12.12,18504	
2015-01-06 16,27485,1.66,34455.87,2.08,168382.90,10.19,16121.00,0.98,8237.50,0.50,20139.23,1.22,60.00,0.00,217884.73,13.18,16526	
2015-01-06 17,33623,1.65,41154.79,2.02,198987.57,9.79,20193.20,0.99,10144.00,0.50,24874.63,1.22,72.00,0.00,260355.53,12.81,20328	
2015-01-06 18,42454,1.64,52668.60,2.03,253253.21,9.76,25785.69,0.99,12950.50,0.50,34019.44,1.31,53.00,0.00,333806.94,12.87,25935	
2015-01-06 19,41063,1.64,55464.67,2.21,246010.43,9.80,24396.50,0.97,12535.50,0.50,34506.06,1.37,38.00,0.00,324991.59,12.94,25107	
2015-01-06 20,38218,1.63,57531.68,2.46,241913.98,10.35,11775.00,0.50,11666.00,0.50,33795.88,1.45,81.00,0.00,306213.46,13.10,23379	
2015-01-06 21,37347,1.67,58909.37,2.64,240042.48,10.75,11071.00,0.50,11139.50,0.50,34256.19,1.53,10.00,0.00,303190.87,13.58,22326	
2015-01-06 22,30655,1.66,52508.27,2.84,209438.26,11.34,9151.50,0.50,9210.50,0.50,28982.85,1.57,51.00,0.00,262355.61,14.20,18474	
2015-01-06 23,22932,1.66,42826.09,3.10,164688.63,11.92,6833.00,0.49,6887.50,0.50,21492.96,1.56,69.00,0.00,204098.79,14.77,13817	
2015-01-07 00,14262,1.65,29617.32,3.42,110427.78,12.77,4261.50,0.49,4312.00,0.50,13352.49,1.54,23.00,0.00,134962.19,15.61,8648	
2015-01-07 01,8845,1.66,18919.95,3.55,69927.76,13.11,2615.00,0.49,2648.00,0.50,7831.26,1.47,69.00,0.01,84685.52,15.88,5334	
2015-01-07 02,5374,1.65,10992.01,3.37,40847.81,12.53,1610.00,0.49,1621.50,0.50,4248.67,1.30,2.00,0.00,49304.08,15.13,3259	
2015-01-07 03,3699,1.65,7605.60,3.40,28445.49,12.70,1096.00,0.49,1113.50,0.50,2745.29,1.23,20.00,0.01,34087.48,15.22,2239	
2015-01-07 04,3359,1.60,7573.50,3.61,27897.33,13.30,1022.00,0.49,1037.50,0.49,2521.28,1.20,53.00,0.03,33158.41,15.81,2097	
2015-01-07 05,5361,1.51,10149.55,2.86,38822.43,10.95,1577.50,0.44,1763.00,0.50,4301.68,1.21,64.00,0.02,47586.41,13.42,3547	
2015-01-07 06,16626,1.53,25095.52,2.31,103115.45,9.49,46.00,0.00,5423.50,0.50,11949.15,1.10,41.00,0.00,123823.30,11.39,10871	
2015-01-07 07,31783,1.58,43991.72,2.18,201644.08,10.01,0.50,0.00,10058.00,0.50,25277.82,1.25,36.00,0.00,243040.12,12.06,20154	
2015-01-07 08,40288,1.61,48746.97,1.94,255436.77,10.19,6.50,0.00,12521.50,0.50,33936.21,1.35,30.00,0.00,309427.99,12.34,25077	
2015-01-07 09,35957,1.60,42276.79,1.88,230965.05,10.28,15.50,0.00,11219.50,0.50,30317.35,1.35,0.00,0.00,279232.52,12.43,22471	
2015-01-07 10,30544,1.61,37779.13,1.99,194441.62,10.27,12.50,0.00,9451.00,0.50,23299.17,1.23,61.00,0.00,232922.99,12.30,18941	
2015-01-07 11,30631,1.63,36073.24,1.92,190632.65,10.15,11.50,0.00,9374.00,0.50,22143.43,1.18,69.00,0.00,227836.08,12.13,18785	
2015-01-07 12,32150,1.65,37377.74,1.91,198753.46,10.18,6.50,0.00,9747.00,0.50,22947.96,1.18,31.00,0.00,237319.22,12.15,19530	
2015-01-07 13,32271,1.65,38625.01,1.97,200852.04,10.26,6.50,0.00,9758.00,0.50,23283.71,1.19,108.00,0.01,239855.80,12.26,19568	
2015-01-07 14,34171,1.65,40825.18,1.98,212497.32,10.28,12.00,0.00,10311.50,0.50,23765.70,1.15,88.00,0.00,252849.40,12.24,20665	
2015-01-07 15,34503,1.69,40884.53,2.00,206894.51,10.12,926.50,0.05,10188.50,0.50,23323.66,1.14,107.00,0.01,247550.97,12.11,20437	
2015-01-07 16,30217,1.67,35190.48,1.95,174890.57,9.69,17658.00,0.98,9008.50,0.50,20964.99,1.16,73.00,0.00,227989.06,12.63,18051	
2015-01-07 17,38210,1.68,45227.07,1.99,224904.94,9.92,22534.50,0.99,11321.00,0.50,28272.33,1.25,26.00,0.00,293858.95,12.96,22677	
2015-01-07 18,47525,1.65,55848.55,1.94,282540.39,9.84,28532.20,0.99,14343.50,0.50,38434.91,1.34,59.00,0.00,372504.50,12.97,28725	
